text,sentiment
"this is awesome i never had faster internet connection before nor getting ad-wear on my laptop thanks so much
",1
"what is the best?

""if you're not part of the solution, you're part of the problem.""
",1
"meh it actully removed all of my wooden seal ads but not the pop up ones tho
",0
"so tired of half of my facebook page being unwanted ads! by adding the quick toggle app, i can see them if i want to  very easily. however, i don't anticipate using it very much!
",0
"was working up until a few days ago. not working anymore so now its useless.
",0
"how is taboola ""non-intrusive""?

oh, it's because they paid you. so because they gave you money, disgusting images of deformities, and partially naked celebrities appearing randomly isn't intrusive....

if taboola isn't intrusive advertising, what is?
",0
"wow .. can't believe this .. just installed this .. and no ads any more
",1
"fantastic product!! removes the noise from the internet. keep up the great work!
",1
"its awesum.. now i m free from unwanted adds.. !!
",1
"i love it no more annoying ads or pop ups. yes!!!
",1
"this is a fantastic app and i would highly recommend it to anyone.
",1
"it's a good app. but after few month it stop work..so i m a little unsatisfied with this app.
",0
"don't know what happened but it was working before and now i'm getting bombarded by ads galore. please fix or update!!
",0
"the best adblock extension on the web!
",1
"gets one start until it's fixed. ads are not blocked. switching back to the other adblock.
",0
"your review has nothing to do with the ad blocker. you're just screwing around about your guilty feeling and giving the extension dislike for that. just don't use it if you feel that way. learn how to write reviews about the actual thing you're reviewing instead of giving you're helpless feeling that don't relate to the quality of the product. 

""does what it says it does.""

well, why not 5? the rest was just on your end. you said nothing else about the ad blocker itself.
",0
"this extension stopped working a few days ago
",0
"i am always having to add custom filters. the lists are obviously not being updated.
",0
"it's a very good extension and it blocks most of the ads on the web. i've seen barely any lately. but the problem is, it constantly keeps crashing on me.
",0
"love it more than any other ad block extension. much faster too, and doesn't slow down browsing. great to have!
",1
"it is literally impossible to open the minecraft wiki on this computer without the aid of this extension. they use waaay too many animated ads.
",1
"that's a shame, shikabane, but we'd like to help you out! if you head over to our forum (https://adblockplus.org/forum/) and give us some more information about how it's not working, then we'll be able to help you find a solution :d
",0
"amazing!! onloy problem is that ads are starting to notice that its installed like itv :(
",0
"amazing extension to have. i am so glad this was referred to me. i have since donated to show my appreciation.
",1
"i4ll give a buck love thanks
",1
"i always loved those adblocking apps such as thing one that is free and no scamming intended cause those others that need to have a premium license are all scam because i have experiences of it.!!!
",1
"been a longtime user of adblock plus and its element hiding helper, but especially over the past couple of years it has become pretty useless.

the reason? site developers are more savvy and, whereas before if i chose an element in the html and blocked it, well now, developers run php/javascripts that rotate or substitute content within that <div> or element, so the adblock works only for the moment you are on that page. if you reload the page or come back to it, boom, a new ad is there and a new element has taken its place.

meaning that advertisers are more sophisticated than the adblock developers. seems to me adblock had a good thing but then just decided to let it ride without keeping up-to-date with what advertisers (many of them lowlife advertisers) would come up with to try to get around the block.

adblock is now old news. i'm looking for something better, one that will not be outfoxed by php or javascripts that rotate ad content on every page load and which are impossible to isolate and block using adblock's filters -- even ones that i custom-write.
",0
"blocks all adsblocks all adsblocks all adsblocks all adsblocks all adsblocks all adsblocks all adsblocks all ads
",1
"this has improved my web experience so much.
",1
"really helpful, i'm really working in a peace of mind environment now using chrome.

thanks developer.
",1
"has increased the speed of my internet by so much without all the annoying ads popping up and it makes it so much easier to watch videos without the annoying ads showing up and having to wait
",1
"it stop working after i update chrome to ver 31.
",0
"simple install. unobtrusive. works great. 

this is a very powerful, no-frills advertising blocker.
",1
"finally i can have a clean browsing experience. thank you adblock plus!
",1
"excellent app works good with lot of unexpected adds. 
thank you for this
",1
"so much better when trying to catch up on youtube videos. i've noticed that it even works with pandora :d awesome <3
",1
"awesome works very good
ive used this for a month now and its blocked about 2,000 adds from crunchyrool and youtube i think every laptop/desktop should have abp
",1
"i have no more annoying ads on youtube anymore :)
",1
"hasn't blocked a single youtube video ad. not one. who is this actually working for? it says it doesn't block ""unobtrusive"" ads.. come on, all ads are obtrusive unless i don't see them.
",0
"has been helpful more than a few times. thanx guys.
",1
"works great on the pages i visit. i rarely (and i mean rarely) get a pop up ad.
",1
"had to remove it. stopped working and i can not enable it. on to the next ad-blocker. 

yes i'd rather struggle finding ad-blockers then deal with ads.
",0
"blocked by av due to malware. browser redirects to lazada, etc..
",0
"quick and easy to install. blocked well over 160,000 adverts in total so far. extremely good.
",1
"it isn't good. till now it's the best
",1
"works fine but sometimes it doesn't block adds when im on chrome (btw as i write this review i have adds for some reason)
",0
"been working marvellously for a year...recently (2 weeks ago?) ads started showing up...something definitely broke with an update. i need to go manually update the list everyday for the ads to not show up. hope it will be fixed soon.
",0
"i can see ads even with acceptable ads viewing unchecked... useless.
",0
"if i don't talk about pop up ads. its good
",0
"uninstalling chrome and removing all related data and reinstalling chrome and then the ublock origin resolved the problem but it's a shame i've lost all my settings and history.
",0
"i noticed same thing with it recently and took a little bit to figure it out that what was causing it. seems since last update i think has caused the issue we are having.
",0
"sorted thanks. speedy fix would add another 5 stars for response time.
",1
"been using this ad block for years and it's the best. recently having issues with twitch tv though :(
",0
"my browser are auto start it bug me when i play online game,hope it work
",0
"you have/had a malware extension in chrome/another explorer. run malwarebytes and adwcleaner in that order, after that reinstall chrome and you will be able to install any kind of adblock.
",1
"nevermind. apparently one has to manually pin it to the bar ... it doesn't happen automatically like it did with firefox. (inconsistency ... *sigh*)
",0
"is there any way to let ublock origin for chrome handle this setting like you can disable it in firefox? relevant info on this: http://superuser.com/questions/639084/malicious-confirm-navigation-dialogs
",0
"it is the best. open source and with advanced user mode, you can block scripts and other trackers. plus it has a nice list of extra filters to choose from. way better than abp, which whitelists many ads from big companies, like google and microsoft
",1
"hey guys can i use this just to visualy disable ads but i dont want for them not to register at all since i want to support everyone on youtube
",1
"what's this trick? i've started had issues with youtube ads and i'm guessing it's similar.
",0
"i don't know what you mean by ""pop-ups like 'google-analytic' one"". can you make a screenshot to help me understand what you are referring to?
",0
"it used to work fine before but i doesn't block ads as of may 2021
",0
"does what it tells.and does it excellently so!
",1
"bravo tv has updated their player, ads and the episode can no longer be played.
",0
"this started happening recently with origin. it is now blocking images so certain images don't even show up on the webpage.
",0
"it seems twitch has found a way around the adblocker. please update
",0
"need an update on youtube ad blocking side.
there are some ads in youtube that are not blocked.
",0
"for a week now i keep getting errors like these: this extension failed to redirect a network request to ""data:application/javascript;base64,..."" because another extension (privacy badger) redirected it to ""data:application/javascript;base64,...""
",0
"i've been having trouble getting rid of one pesky ad that keeps coming back on yahoo mail. when i view my inbox there is an ad at the top that requires me to block the element every single time. it creates a blocking rule like ###yui_3_16_0_1_1433430560147_xxxx[href^=""https://beap.gemini.yahoo.com/mbclk""] where xxxx is a random 4 digit number every time i reload the page. every other element on the inbox is also an element with a different random 3-4 digit number at the end. is there any way to block this ad?
",0
"yes it has not worked since july. i have not found a replacement, and am trying their development build as we speak. it started as white banners, and then changed to full on adds sometimes. even having youtube page ads that i couldn't right click and block. if you find a solution, post here please!
",0
"absolutely amazing. i dont know how i was able to browse the internet before. all ads are blocked, and nothing else. even youtube and crunchyroll ads!
",1
"ublock origin stopped me from clicking through to several tracking websites from email today and yesterday and showed me a great message about what was exactly wrong with the links and where they were sending me to. absolutely awesome, even better than adblock plus
",1
"i started using this one after i found a random youtube video on how to block annoying  pink hair girl on a site which ad blocker is frowned upon i got this and now it never happended again(well i did have to add a filter to it),ad block sell out and, it not blocking add when i turn the program off, forced me to get this. also my computer feels faster with ublock origins
",1
"will this adblocker be blocked in the future? i've heard that google is going to block adblocker.
",0
"really great, best as blocker going
",1
"without support to unblock specific youtube/ect. channels i won't be using this
",0
"i had ublock but it just disappeared after a microsoft essentials update. now i keep getting a 'network error' message when i try to download it again. thanks
",0
"possibly a recent update to ublock is causing issues with microsoft outlook being tagged as malware which when disabled temporarily causes an error when attempting to sign into the outlook account.
",0
"apparently an easylist issue with twitch tv reportedly using a new html5 player for some users: https://adblockplus.org/forum/viewtopic.php?f=2&t=39725
",0
"might want to do an update, getting adds and the filters are not blocking them.
",0
"this has to be addresses on a case per case basis, there is no generic solution for this. you need to report such instances to easylist forum: https://forums.lanik.us/viewforum.php?f=62
",0
"@raymond hill i completely forgot this setting (on my win7 machine i unchecked it ages ago and since then i came to consider it as off by default). chromium now closes all processes properly while chrome leaves some behind still. i didn't mean to high-jack your thread for general browser maintenance, but thank you for taking the time to answer. that's very cool of you.
",1
"i've used lots of different adblockers through the years and honestly i can't tell the difference. all i ask is that it doesn't suck, and it doesn't so five stars!
",1
"worked great for ages, then suddenly chrome wouldn't load pages and deactivating this extension was the only thing that fixed it.
",0
"i have been experiencing issues with ads served through http://rekoverr.com/ they link to scam and malware sites and i can't seem to be able to block them in any way.
",0
"best in terms of speed and memory.
options provided are as useful as adblock.
i just wonder if they provide some anti adblocker scripts feature, or not. please tell me if it does or not.
",1
"this ad blocker is the best that i've ever used! :)
",1
"bit sus? ublock is the only non sus ad blocker. there's always a battle between the advertisers and ad blockers, but i guarantee you, ublock updates more frequent, and is more ontop of the ads than any other extension.
",1
"it just keeps on saying checking when i try to redownload how do i fix this
",0
"used it for porn to watch with my nephew, very useful!
",1
"there is a color-blind mode you can enable in the settings pane: https://github.com/gorhill/ublock/wiki/dashboard:-settings
",1
"after struggling with other blockers that just didn't cut it, my son had me install this and it worked perfectly right off the bat! thank you!!!!
",1
"seems to have an issue with block yt ads nowadays. a white screen appears as an ad for most videos nowadays. there is a skip button but it seems that google is trying to fight against adblockers atm.
",0
"best ad blocker on chrome so far!
",1
"adblock and adblock plus stopped blocking a lot of video websites a while ago. this does the trick! :d
",1
"pandora and spotify (and likely other similar sites) are banning ad blockers and have a new policy in place to permanently ban people from the sites if they employ the new blockers to get around this issue - just a way to make us pay for their premium services
",0
"i came home today to find my pc (win10 x64) wasn't asleep. i checked powercfg -requests and saw chrome reporting ""webrtc has active peerconnections"". looking in chrome://webrtc-internals/ the only entry is for: chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/background.html, { servers: [], icetransporttype: all, bundlepolicy: balanced, rtcpmuxpolicy: negotiate }, which is this extension. what is ublock doing to keep webrtc hung up and thus prevent my pc from sleeping? i took a dump of the webrtc internals page if you'd like it for any other info.
",0
"it is a strong blocker, but it doesn't open a lot of pages you want opened either. so... kind of sucks.
",0
"i just uninstalled and reinstalled it and the problem seems gone
",0
"i agree. it appears ublocko development has been taken over by those from abp, meaning more google ads. a shame and time to look for a replacement. i wouldn't mind if the extension had an option for each site to allow google ads.
",0
"settings and other options isn't showing in kiwi browser what i'm getting is a half blank page
",0
"alberto - in chrome toolbar you should have an extensions icon (puzzle piece) next to user image (top right). when you click it, it expands the list of extensions installed and active. just click the greyed-out push-pin icon next to ublock origin and it will appear there. please note that extensions are disabled in incognito and icon is not there.
",1
"try it in incognito tab with idm extensions enabled
",1
"i have used for a while now and i have loved it. blocks a ton of unwanted ads, not a virus/rat, and is amazing overall.
",1
"if you visit https://www.sky.com/shop/mobile, it breaks the site, no phones are shown. i have tested adguard, abp and uo with default settings, up to date filters, and ub is the only one that breaks the site. thank you
",0
"this is an effective, and efficient adblock extension, and is my personal favorite.
",1
"hi, with ublock enable i cant click on any article link of this site http://www.tiramillas.net/
",0
"switched from abp due to ads
",1
"who came with alt+l as a shortcut for logger? i have to delete ublock because of that, i can't input ""ł"" on polish keyboard anymore.
",0
"has been very effective until recently, when i've started getting ads loading behind my chrome browser. have deleted and reloaded to see if that will do the job (and added a supplementary, ublock origin extra from the same developer).
",0
"this is the best ad-blocker extension, bar none.
way more helpful and useful than any antivirus out there. really, all you need is this extension properly configured.
",1
"chrome for android does not support extensions. however, ublock origin works fine on firefox for android.
",1
"it uses less ram in comparison to the previous ad blocker that i used.
",1
"the extension should be auto inactive on goverment or education sites. for example you cannot see an add on gov.tr sites.
",0
"you should prob use the offical google browser for it to work :)
",0
"best adblocker extension on the planet.  i`m using this for a long time, and really impressed with results. strongly recommended to anyone who wants to get rid of pesky ads :d
",1
"since today i get a blank youtube screen and a skip ad button at the bottom left when i select certain videos. before this never happened, please update if possible thank you.
",0
"here: http://arenabg.com/torrents/ ublock origin v0.9.6.0 slimjet browser portable 3.0.3.0 (chromium 40.0.2214.93) srware iron 35.0.1900.0 windows xp i will give more info (screenshots, settings, ...) but lets first see if you, in your chromium, see the same - ads are blocked but some (4) of ""placeholders of blocked elements"" are not hidden.
",0
"good day. i have been using your adblocker for some time. what i also really liked is that i could watch tv on the internet on the website: nlziet.nl. so advertisements that you normally see on tv, that blocked ublock origin very well so that you could watch the entire broadcast without those annoying commercials. only recently he no longer blocks broadcasts, so you now have to wait and those annoying advertisements see more. they may have removed something in the broadcast, so that your ad blocker will no longer see advertisements. it still works well on youtube and other websites! hopefully you can make something for it so that it will be blocked again. i would like to hear from you. sincerely, stefan nieuwenhuijse
",0
"you program works great on the cw's site, but they have found a way to block you any way you can get back around them?
",0
"i have never used an extension as useful as this one. install and done. it works like a charm <3
",1
"great ad blocker!.... many thanks  :-)
",1
"except for facebook ads, it blocks all ads. must have extension
",0
"just recently stopped working on twitch sadly
",0
"try if adding also ""ublock origin websocket"" fixes that: https://chrome.google.com/webstore/detail/ublock-origin-websocket/pgdnlhfefecpicbbihgmbmffkjpaplco (i don't use ""twitch"" nor know what it is (some tv site i think))
",1
"good adblocker, however, doesnt seem to work on twitch at the moment
",0
"actually blocks things that are not ads etc. and forces me to turn it off in order to be able to use some features on some websites.
",0
"perfect extension, it never has failed me, until now. i am pasting the output that i am getting on some websites, like in the chrome.google.com/webstore site and others: -!doctype html- -html id=""ubo-popup-panel""- -head- -meta charset=""utf-8""- -meta name=""viewport"" content=""width=device-width, initial-scale=1""- -link rel=""stylesheet"" href=""css/themes/default.css""- -link rel=""stylesheet"" href=""css/common.css""- -link rel=""stylesheet"" href=""css/fa-icons.css""- -link rel=""stylesheet"" href=""css/popup-fenix.css""- -title data-i18n=""extname""-/title- -/head- -body class=""loading"" data-more=""a b c d""- -div id=""panes""- -div id=""main""- -div id=""sticky""- -div id=""stickytools""- -div class=""rulesettools""- -span id=""saverules"" class=""fa-icon"" data-i18n-title=""popuptipsaverules""-lock-/span- -span id=""revertrules"" class=""fa-icon"" data-i18n-title=""popuptiprevertrules""-eraser-/span- -/div- -div id=""switch"" role=""button"" aria-label tabindex=""0"" title- -span class=""fa-icon""-!-- power button taken from font awesome v4.7.0 by dave gandy. unlike other fa icons, the power button is inlined here so that we can use a clip-path in order to ensure that the stroke does not ""bleed"" outside the fill area. ---svg viewbox=""0 0 1536 (etc, etc).....when i click the ublock origin symbol on that website. tried removing, then reinstalling with the same results. a bug, or has there been a change that has not been updated on my end?
",0
"doesn't work, just shows a black screen until the ad is done playing then gives you a ""skip ad"" at the bottom right of the black screen.
",0
"as others are saying, sites are crippled with extension enabled. sadly browsing without it for now.
",0
"is there a method to whitelist specific youtube channels? without whitelist youtube as a whole
",1
"adblock for chrome (not plus) has the following options when i click its button: 1. pause adblock 2. remove ads on this site 3. create an exception for this site 4. disable adblock on domains of this site 5. show removable elements 6. reports ads on this site may i ask you to implement points 1-5? currently you just offer an option to disable ublock on a per-site basis. adblock on the other hand gives us easy options to block specific elements using a gui and disable it using wildcards and stuff. so i can block ads on www.domain.com, but can allow them on site.domain.com/user/* very useful.
",0
"i've used ublock for about a year now. it doesn't seem to be blocking ads on youtube any longer. any advice on how to fix this?
",0
"july 2017 and its still superb for me.
",1
"one single click will allow you to disable the wholesale blocking of a site, temporarily or permanently. see: https://github.com/gorhill/ublock/wiki/strict-blocking disabling strict blocking will just prevent the root page from being blocked, ads/trackers will still be blocked once strict blocking is disabled for a site.
",1
"type chrome://apps and right click youtube app - remove from chrome. the adblockers don't recognize youtube as a website cause it became an embedded app on chrome in a recent update.
",0
"first, off this is a great extension, made even greater by the open source license. thank you for putting so much effort into this extension. i've done a bit of research, and it seems like amazon prime video ads come from the same server, so the normal method of blocking the ads probably won't work. is there any way to block the amazon prime video ads? i find it profoundly stupid that i have to pay a subscription in order to see ads in my tv shows. thanks!
",0
"block's most ad's except on twitch.tv where i get an ad every time
",0
"already works well and blocks ads/elements before page load (i.e, faster, more secure). keep up the great work and looking forward to completed product.
",1
"certain website take action by embedding a pop-up command in javascript, or when you click on a link or a general mouse-click. have you investigated this to disable this behavior?
",0
"works better than adblock plus. the popups on dailymail.co.uk were getting really bad and ublock stopped all of them.
",1
"i appreciate the awesome work to make an efficient program for not for profit.
",1
"i've been using it for years, and it has made my life better. i recommend it completely to anyone and everyone.
",1
"don't fall for the imposters this is the best ad blocker you will ever need... i even removed my antivirus this is so efficient and useful.
",1
"for what purpose do you need to collect authentication data such as passwords, security questions, and pins? if it is for creating a ghostery account, then that should be specified. the way it is currently written seems to indicate this is for all web traffic.
",0
"honestly amazing, the best adblocker i have used on this site and also comes with even more anti-tracking features. keep it up!
",1
"i really like and have used ghostery for years, but i am very concerned about the new ""smart blocking"" ""feature"" which i recommend that you turn off.
why? because while ghostery's intent may have been to offer better functionality and speedier browsing for users through ""artificl intelligence"", the ""smart blocking"" feature appears to completely override all of your current settings in a way that is non-transparent and very hostile to privacy.
evidence? visit lastpass.com with all trackers blocked and smart blocking turned on. check out the detailed view for a long list of advertising and analytics trackers automatically and quietly  ""unblocked"" - you will be shocked.
",0
"love it. i like that you see what each page was trying to do.
",1
"what will do without you ! :)
",1
"i loved it
such a great app
",1
"had to deactivate the extension because of the above problem. after deactivating there is no problem with the process anymore. please contact me, so i could provide further details.
",0
"for what purpose do you need to collect authentication data such as passwords, security questions, and pins? if it is for creating a ghostery account, then that should be specified. the way it is currently written seems to indicate this is for all web traffic.
",0
"ghostry blocks so many ads, pop-ups and unwanted scripts that load in background that now it saves huge amount of bandwidth. mostly when am on youtube, the autoplay of ads before you can skip it to actual video is saving almost 8-10gb of bandwidth every month! kudos to ghostery team
",1
"1 - 'continue with google' does not work (tried only patreon) 2 - works on guest mode > suspect extention 3 - try disable extentions and 'continue with google' works after disabling ghostery
",0
"love it! have been using it for years.
",1
"the reason why i wanna give it 5 stars is because it blocks youtube ads as-well, while most of the youtube ad blockers don't actually work. this app still doesn't really block all the website ads and would love to see that in the next update but honestly overall good work team. kudos. :)
",1
"it is good for blocking scripts but it creates problem with google dev tool. i can not inspect element using google dev tools when this is active. all tags are collapsed in the dev tool. i can not expand body tag. all tags are collapsed inside the body tag. so, i can not debug html and css in my local development environment. if i pause this extension or disable it, then everything works fine, i mean google dev tool works fine and i can inspect any html tags in the dev tool.

please fix this.

ps. i will give you 5 stars once this issue is fixed.
",0
"i am so tired of everything i order suddenly popping up with special offers.  that is why i got this!
",1
"awesome. use it whenever i need it i hate add pop ups and this is a great app for it. just like a auto cleaner but for the web lets u see all those trackers and u'll be surprised at how many it can block the biggest amount i have had is 16 anyone can beat the
",1
"this has been a staple in my arsenal against malware. but the recent version is preventing files from being uploaded and videos from working full screen. i have had to disable for now. it's a shame as it really has been working great until recently.
",0
"excellent plugin. good to block unwanted ads. i loved it.
",1
"i just started having the same problem, mine would shutdown after 5seconds sometimes. did you found any solution to this issue ?
",0
"very helpful...!
congrats to all the ghostery team..big up!
",1
"fantastic tracking blocker. i keep trying the foss alternatives -- privacy badger and disconnect -- but ghostery is just so much smoother and doesn't block nice things that i actually want. thanks!
",1
"new update has made a huge difference! it's working now, thank you! :-) happy customer now, lol.
",1
"google play music wont work with ghostery even if all tracker is enabled( playback doesn`t start). fix pls. 2 day before its was play ok. in fact may b its google prevent plaback i dont know
",0
"my ghostery icon in chrome is grey instead of blue and does not seem to be working. does this signal a configuration issue?
",0
"when ""enhanced anti-tracking"" option is enabled, youtube doesn't save settings like theme or localization and drops it to default state each time you leave the site and then return back, even when 'trust site' option is checked. when ""enhanced anti-tracking"" option is turned off everything works fine and every setting is saved as expected.
",0
"would like to report an issue with the current version of ghostery for chrome where ghostery causes chrome's pop-up blocker to block all links opened in a new tab using middle click. disabling ghostery resolves the issue. this only started with a recent update to ghostery. using: ghostery v8.2.6 and chrome 71.0.3578.98 (official build) (64-bit) on windows 7. there are multiple reports of this issue. please see posts made on 2019-01-09 at https://bugs.chromium.org/p/chromium/issues/detail?id=305351 - where users have commented that removing ghostery resolves the issue.
",0
"great extension, simply and easily blocks trackers. like the pop-up that tells me what sites are tracking on a given page and lets me easily find out more information about those trackers! bonus for being multi-platform and multi-browser. if you value your privacy this really is a must-have extension.
",1
"thanks for the kind words! happy browsing!
",1
"i have tried and tested the vast majority of ad blockers, redirect removers and pop-up/pop under blockers available here in the chrome web store.

this one of very few competent extensions which can reliably block redirects and pop-ups/popunders on adult content sites.

you occasionaly need to trust a website because ghostery can be overly aggresive with its blocking, for this reason i can not give gjostery a full 5 star rating.
",0
"hi, this was a bug that is now fixed that was not at the fault of ghostery. for our full response please reach out to us at support@ghostery.com with any questions, concerns, or feedback. happy browsing!
",1
"i have ghostery running and have for a long time. recently, just about everything that opens in a new tab gets blocked by chrome as a pop up. even things that normally wouldn't trigger the pop up blocker. since it worked in incognito, i knew it was an extension. disabling ghostery fixes it. info: linux, version 67.0.3396.62 (official build) beta (64-bit), ghostery 8.2.5
",0
"ghostery prevents any of the json formatter/viewer chrome extensions from working properly, which i need for web development work.
",0
"i only have this issue with chrome canary and blur. this extension failed to redirect a network request to due to blur yadda yadda. yet i have these two working in regular chrome and firefox with no issues.
",0
"thanks for the positive feedback! happy browsing!
",1
"i really am stating to dislike how im getting pop up ads from this app to make me pay for their service.
",0
"i'd love that you would try to know me better, but i dislike that they tracks me!
",0
"great, but it uses quite a bit of memory, please lower it.
",0
"works great, very well thought of and executed
",1
"this is the best thing to happen to  or on the net.  i love it.
",1
"sexy. blocks most ads. some still get through and are not blockable (as in i will block them, but they will show up again after i refresh the page)
",0
"should automatically add new cookies and other objects to the filter, instead you have to manually add them yourself.

they have a number of bugs that are breaking the ability to view high profile websites.

now it just auto disables everything on update instead of forcing you to manually add new trackers. i get that it wants to allow websites to function but this is dishonest. i don't care if it's open source, your designing default behavior to be disingenuous and counter intuitive. fix your product and stop making excuses about why you aren't communicating terrible functionality changes. that or stop making the terrible changes to begin with and you won't see as much backlash.
",0
"it used to work, but now the last 2 weeks (since january 5, 2017), scrambles facebook comments, + won't let you ""pause"" ghostery. its now forcing you to make an account <- the antithesis of guarding privacy. i would give it a zero if i could as it completely doesn't work. tried to contact customer service but they do not reply.
",0
"a suggestion: site specific options because what may be useful on one site may be annoying on another.
",0
"great add-on if you're the type who cares about your privacy
",1
"been using this for quite some time and love it, works well with u block for total protection.
been running both together with no problems, any site that wont load or run properly is not worth my time anyway
",1
"since latest updates it is slowing down all my browsing.. version 8.0.8.1

use to be good but now just slows down the pages loading to the point i have to turn it off and everything is back to normal..
",0
"what a great app.  keep yourself informed about the companies that track you across the web.

thanks ghostery this sits aside ad block as one of my must have add-ons.
",1
"easy and simple, the fact they provide this for free is blessing
",1
"i love this app. face it, you can't get anything perfectly right but if you follow the tutorial and try to learn from it, it's pretty useful. gj guys!!
",1
"latest version is blocking facebook, youtube and google hangouts. seems to be blocking google api's and some facebook beacons that are needed. please fix. uninstalled until a fix is confirmed.
",0
"love ghostery, but the new update is causing me to not be able to click on certain links on some websites. i talked to my dev team at work and they are looking into it, but no idea what's going on at this point. i turn off ghostery and the links work, turn it on and i can't click certain things.
",0
"love it!, i feel a whole lot better knowing that i will browser with out having to be paranoid. i like to say keep up the good work.
",1
